text,intent,entities
Hapus/tampilkan semua data,tampilkan_semua_transaksi,
Hari ini Udin ambil permen 30 dus sudah lunas,tambah_transaksi_lunas_cash,pelanggan=Udin|barang=Permen|jumlah=30|satuan=dus|status=Lunas
Hari ini andi order permen 600 toples dicicil 200000 tunai,tambah_transaksi_cicilan_cash,pelanggan=Andi|barang=Permen|jumlah=600|satuan=toples|status=Cicil|nominal_bayar=200000|metode=Tunai
Hari ini budi order permen 30 toples dicicil 200000 dibayar langsung,tambah_transaksi_cicilan_cash,pelanggan=Budi|barang=Permen|jumlah=30|satuan=toples|status=Cicil|nominal_bayar=200000|metode=Tunai
Hari ini naha ambil permen 50 dus sudah lunas dibayar secara transfer,tambah_transaksi_lunas_transfer,pelanggan=Naha|barang=Permen|jumlah=50|satuan=dus|status=Lunas|metode=Transfer
Hari ini nala ambil brownis 100 bungkus dicicil 1000000 dibayar secara transfer,tambah_transaksi_cicilan_transfer,pelanggan=Nala|barang=Brownis|jumlah=100|satuan=bungkus|status=Cicil|nominal_bayar=1000000|metode=Transfer
Hari ini nala ambil permen 70 dus dicicil 2000000 dibayar secara transfer,tambah_transaksi_cicilan_transfer,pelanggan=Nala|barang=Permen|jumlah=70|satuan=dus|status=Cicil|nominal_bayar=2000000|metode=Transfer
Hari ini nala ambil serbuk 100 lunas dibayar secara transfer,tambah_transaksi_lunas_transfer,pelanggan=Nala|barang=Serbuk|jumlah=100|status=Lunas|metode=Transfer
Hari ini pak agus ambil permen coklat 2 dus,tambah_transaksi_lunas_cash,pelanggan=Agus|barang=Permen Coklat|jumlah=2|satuan=dus
Hari ini pak andi order barang 50 pcs berupa permen,tambah_transaksi_lunas_cash,pelanggan=Andi|barang=Permen|jumlah=50|satuan=pcs
Hari ini rara ambil permen coklat 13 dus dibayar lunas secara cash,tambah_transaksi_lunas_cash,pelanggan=Rara|barang=Permen Coklat|jumlah=13|satuan=dus|status=Lunas|metode=Tunai
Hari ini rudi order permen 600 toples dicicil 200000 bayar langsung,tambah_transaksi_cicilan_cash,pelanggan=Rudi|barang=Permen|jumlah=600|satuan=toples|status=Cicil|nominal_bayar=200000|metode=Tunai
Hari ini rudi order permen 600 toples dicicil 200000 cash,tambah_transaksi_cicilan_cash,pelanggan=Rudi|barang=Permen|jumlah=600|satuan=toples|status=Cicil|nominal_bayar=200000|metode=Tunai
Hari ini rudi order permen 600 toples dicicil 200000 sudah dibayar,tambah_transaksi_cicilan_cash,pelanggan=Rudi|barang=Permen|jumlah=600|satuan=toples|status=Cicil|nominal_bayar=200000
Hari ini rudi order permen 600 toples dicicil 200000 tf,tambah_transaksi_cicilan_transfer,pelanggan=Rudi|barang=Permen|jumlah=600|satuan=toples|status=Cicil|nominal_bayar=200000|metode=Transfer
Hari ini rudi order permen 600 toples sudah lunas,tambah_transaksi_lunas_cash,pelanggan=Rudi|barang=Permen|jumlah=600|satuan=toples|status=Lunas
Hari ini supri ambil permen 20 toples sudah lunas,tambah_transaksi_lunas_cash,pelanggan=Supri|barang=Permen|jumlah=20|satuan=toples|status=Lunas
Perbaharui pesanan pak naha,update_transaksi,pelanggan=Naha
Perbaharui transaksi zio,update_transaksi,pelanggan=Zio
Pesanan pak ardi,cek_pesanan_pelanggan,pelanggan=Ardi
Siapa pembeli paling banyak hari ini,total_transaksi,
Siapa pembeli terbanyak,total_transaksi,
Siapa pembeli terbanyak hari ini,total_transaksi,
Siapa transaksi terbangak hari ini,total_transaksi,
Siapa tunggakan paking banyak,total_tunggakan,
Siapa yang bayar cash,filter_bayar_cash,
Siapa yang bayar transfer,filter_bayar_transfer,
Siapa yang masih hutang,total_tunggakan,
Siapa yang masih nyicil,total_tunggakan,
Siapa yang pesan hari ini,tampilkan_transaksi_hari_ini,
Tambah barang brownis harga 2500 per bungkus,tambah_produk,barang=Brownis|harga=2500|satuan=bungkus
Tambah barang brownis harga 2500 per toples,tambah_produk,barang=Brownis|harga=2500|satuan=toples
Tambah barang permen coklat,tambah_produk,barang=Permen Coklat
Tambah barang roti pia bulus,tambah_produk,barang=Roti Pia Bulus
Tampilan data penjualan hari ini,cek_penjualan_hari_ini,
Tampilkan daftar harga barang,tampilkan_produk,
Tampilkan harga brownis,cek_harga_produk_spesifik,barang=Brownis
Tampilkan jumlah pesanan dari pak andi,cek_pesanan_pelanggan,pelanggan=Andi
Tampilkan semua daftar penjualan,tampilkan_semua_transaksi,
Tampilkan total transaksi hari ini,total_transaksi,
Tampilkan transaksi tanggal 28,tampilkan_transaksi_tanggal,tanggal=28
Tampilkan uang masuk kemarin,total_uang_masuk,
Total cicilan penjual hari ini,total_tagihan,
Update harga barang,edit_produk,
Update pesanan naha,update_transaksi,pelanggan=Naha
Zio bayar hutang 27000000 transfer,bayar_hutang,pelanggan=Zio|nominal_bayar=27000000|metode=Transfer
Zio bayar tagihan 27 juta,bayar_hutang,pelanggan=Zio|nominal_bayar=27000000
ada barang apa saja,tampilkan_produk,
ada berapa penjualan hari ini,cek_penjualan_hari_ini,
add barang brownis,tambah_produk,produk=brownis
add produk permen,tambah_produk,produk=permen
apa yang belum lunas,filter_belum_lunas,
apa yg blm lunas,filter_belum_lunas,
apakabar,greeting,
assalamualaikum,greeting,
barang apa saja yang ada,tampilkan_produk,
barang paling mahal,cek_harga_produk_spesifik,filter=tertinggi
berapa banyak transaksi hari ini,total_transaksi,waktu=hari ini
berapa harga brownis,cek_harga_produk_spesifik,produk=brownis
berapa harga permen,cek_harga_produk_spesifik,produk=permen
berapa harga permen coklat,cek_harga_produk_spesifik,produk=permen coklat
berapa harga produk tertinggi,cek_harga_produk_spesifik,filter=tertinggi
berapa harga roti pia,cek_harga_produk_spesifik,produk=roti pia
berapa harga serbuk,cek_harga_produk_spesifik,produk=serbuk
berapa pemasukan hari ini,total_uang_masuk,waktu=hari ini
berapa pendapatan hari ini,total_uang_masuk,waktu=hari ini
berapa pesanan pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
berapa piutang hari ini,total_tagihan,waktu=hari ini
berapa tagihan hari ini,total_tagihan,waktu=hari ini
berapa total cicilan,total_tunggakan,
berapa total hutang pelanggan,total_tunggakan,
berapa total tagihan hari ini,total_tagihan,waktu=hari ini
berapa total tagihan kemarin,total_tagihan,waktu=kemarin
berapa total transaksi,total_transaksi,
berapa total transaksi bulan ini,total_transaksi,waktu=bulan ini
berapa total transaksi hari ini,total_transaksi,waktu=hari ini
berapa total tunggakan hari ini,total_tunggakan,waktu=hari ini
berapa total uang masuk hari ini,total_uang_masuk,waktu=hari ini
berapa total uang tagihan hari ini,total_tagihan,waktu=hari ini
berapa total uang tagihan kemarin,total_tagihan,waktu=kemarin
berapa total uang tagihan tanggal 21,total_tagihan,tanggal=21
berapa transaksi hari ini,total_transaksi,waktu=hari ini
berapa transaksi kemarin,total_transaksi,waktu=kemarin
berapa transaksi pak ardi,cek_pesanan_pelanggan,pelanggan=pak ardi
berapa tunggakan hari ini,total_tunggakan,waktu=hari ini
berapa uang masuk hari ini,total_uang_masuk,waktu=hari ini
berapa uang masuk kemarin,total_uang_masuk,waktu=kemarin
berapa yang masih tagihan,total_tagihan,
besok pak ardi ambil barang 100 buah brownis sudah dibayar,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|status=lunas|waktu=besok
brp harga brownis,cek_harga_produk_spesifik,produk=brownis
brp harga permen,cek_harga_produk_spesifik,produk=permen
brp harga prduk tertinggi,cek_harga_produk_spesifik,filter=tertinggi
buang semua data penjualan,hapus_transaksi,
catat pelunasan pak zio 27 juta tf,bayar_hutang,pelanggan=pak zio|nominal=27000000|bayar=transfer
cek barang,tampilkan_produk,
cek data penjualan,tampilkan_semua_transaksi,
cek harga barang,tampilkan_produk,
cek harga brg,tampilkan_produk,
cek harga brownis,cek_harga_produk_spesifik,produk=brownis
cek harga permen,tampilkan_produk,produk=permen
cek harga roti pia,cek_harga_produk_spesifik,produk=roti pia
cek harga serbuk,cek_harga_produk_spesifik,produk=serbuk
cek hutang pelanggan,filter_belum_lunas,
cek hutang terbesar,hutang_terbanyak,
cek pemasukan hari ini,total_uang_masuk,waktu=hari ini
cek penjualan,tampilkan_semua_transaksi,
cek penjualan hari ini,cek_penjualan_hari_ini,
cek penjualan kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
cek penjulan hri ini,tampilkan_transaksi_hari_ini,
cek pesanan hari ini,tampilkan_transaksi_hari_ini,
cek pesanan pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
cek pesanan pak ardi,cek_pesanan_pelanggan,pelanggan=pak ardi
cek pesanan pak hendra,cek_pesanan_pelanggan,pelanggan=pak hendra
cek pesanan tanggal 21,tampilkan_transaksi_tanggal,tanggal=21
cek pesanan tanggal 21 04 2026,tampilkan_transaksi_tanggal,tanggal=21-04-2026
cek pesanan udin,cek_pesanan_pelanggan,pelanggan=udin
cek pesnan pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
cek pesnan pak ardi,cek_pesanan_pelanggan,pelanggan=pak ardi
cek pesnan tanggal 21,tampilkan_transaksi_tanggal,tanggal=21
cek pesnan tanggal 21 04 2026,tampilkan_transaksi_tanggal,tanggal=21-04-2026
cek pesnan udin,cek_pesanan_pelanggan,pelanggan=udin
cek piutang,filter_belum_lunas,
cek pnjualan hari ini,cek_penjualan_hari_ini,
cek produk,tampilkan_produk,
cek semua penjualan,tampilkan_semua_transaksi,
cek semua transaksi,tampilkan_semua_transaksi,
cek smua penjualan,tampilkan_semua_transaksi,
cek tagihan hari ini,total_tagihan,waktu=hari ini
cek transaksi hari ini,tampilkan_transaksi_hari_ini,
cek transaksi ibu maya,cek_pesanan_pelanggan,pelanggan=ibu maya
cek transaksi kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
cek transaksi tanggal 21,tampilkan_transaksi_tanggal,tanggal=21
cek transaksi tunai,filter_bayar_cash,bayar=tunai
cek transaksi udin,cek_pesanan_pelanggan,pelanggan=udin
cek transaksi via transfer,filter_bayar_transfer,bayar=transfer
cek tunggakan,total_tunggakan,
cek yang bayar tunai,filter_bayar_cash,bayar=tunai
cek yang bayar via tf,filter_bayar_transfer,bayar=transfer
cek yang belum lunas,filter_belum_lunas,
clear semua transaksi,hapus_transaksi,
customer terbanyak,pembeli_terbanyak,
daftar barang,tampilkan_produk,
daftar hutang,filter_belum_lunas,
daftar penjualan hari ini,tampilkan_transaksi_hari_ini,
daftar penjualan kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
daftar penjualan semua,tampilkan_semua_transaksi,
daftar prduk,tampilkan_produk,
daftar produk,tampilkan_produk,
daftar tunggakan,filter_belum_lunas,
daftar yang bayar cash,filter_bayar_cash,bayar=cash
daftar yang bayar tf,filter_bayar_transfer,bayar=transfer
daftarkan barang brownis,tambah_produk,produk=brownis
daftarkan produk permen,tambah_produk,produk=permen
data pembelian pak rudi,cek_pesanan_pelanggan,pelanggan=pak rudi
data penjualan hari ini,tampilkan_transaksi_hari_ini,
data penjualan tanggal 5,tampilkan_transaksi_tanggal,tanggal=5
data pesanan mba rina,cek_pesanan_pelanggan,pelanggan=mba rina
data tanggal 21 04,tampilkan_transaksi_tanggal,tanggal=21-04
data transaksi pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
delete barang permen,hapus_produk,produk=permen
delete produk brownis,hapus_produk,produk=brownis
delete semua transaksi,hapus_transaksi,
edit barang,edit_produk,
edit data transaksi ibu maya,update_transaksi,pelanggan=ibu maya
edit harga brownis,edit_produk,produk=brownis
edit harga produk,edit_produk,
edit nama barang,edit_produk,
edit order pak joko,update_transaksi,pelanggan=pak joko
edit pesanan pak naha,update_transaksi,pelanggan=pak naha
edit produk brownis,edit_produk,produk=brownis
edit transaksi pak budi,update_transaksi,pelanggan=pak budi
ganti data transaksi pak soni,update_transaksi,pelanggan=pak soni
ganti harga brownis,edit_produk,produk=brownis
ganti harga brownis jadi 2000,edit_produk,produk=brownis|harga_baru=2000
ganti harga brownis jdi 2000,edit_produk,produk=brownis|harga_baru=2000
ganti harga permen coklat,edit_produk,produk=permen coklat
ganti harga permen jadi 14000,edit_produk,produk=permen|harga_baru=14000
ganti hrga prmen jdi 14000,edit_produk,produk=permen|harga_baru=14000
ganti nama barang,edit_produk,
gimana penjualan hari ini,cek_penjualan_hari_ini,
gmn penjualan hri ini,cek_penjualan_hari_ini,
hai,greeting,
hai bisa bantu saya,greeting,
hai bot,greeting,
hai kak,greeting,
hallo,greeting,
hallo semuanya,greeting,
halloo,greeting,
halo,greeting,
halo ada yang bisa bantu,greeting,
halo bot,greeting,
halo bro,greeting,
haloo,greeting,
halooo,greeting,
hapus barang brownis,hapus_produk,produk=brownis
hapus barang permen coklat,hapus_produk,produk=permen coklat
hapus barang produk,hapus_produk,
hapus data pak hendra,hapus_transaksi,pelanggan=pak hendra
hapus data penjualan,hapus_transaksi,
hapus harga barang,hapus_produk,
hapus order pak rudi,hapus_transaksi,pelanggan=pak rudi
hapus pesanan pak budi,hapus_transaksi,pelanggan=pak budi
hapus pesanan udin,hapus_transaksi,pelanggan=udin
hapus pesanan udin dengan status pembayaran belum lunas,hapus_transaksi,pelanggan=udin|status=belum lunas
hapus pesnan udin,hapus_transaksi,pelanggan=udin
hapus pesnan udin dg status pembayaran blm lunas,hapus_transaksi,pelanggan=udin|status=belum lunas
hapus produk permen,hapus_produk,produk=permen
hapus produk roti pia,hapus_produk,produk=roti pia
hapus produk serbuk,hapus_produk,produk=serbuk
hapus rekap penjualan,hapus_transaksi,
hapus riwayat pesanan pak ardi,hapus_transaksi,pelanggan=pak ardi
hapus seluruh transaksi,hapus_transaksi,
hapus semua data penjualan,hapus_transaksi,
hapus semua data transaksi,hapus_transaksi,
hapus semua order,hapus_transaksi,
hapus semua transaksi,hapus_transaksi,
hapus smua data penjualan,hapus_transaksi,
hapus smua transaksi,hapus_transaksi,
hapus transaksi pak andi,hapus_transaksi,pelanggan=pak andi
hapus transaksi pak joko,hapus_transaksi,pelanggan=pak joko
hapus transaksi udin,hapus_transaksi,pelanggan=udin
harga brownis,cek_harga_produk_spesifik,produk=brownis
harga brownis diganti 2000,edit_produk,produk=brownis|harga_baru=2000
harga permen,cek_harga_produk_spesifik,produk=permen
harga permen coklat,cek_harga_produk_spesifik,produk=permen coklat
harga permen diubah 14000,edit_produk,produk=permen|harga_baru=14000
harga roti pia,cek_harga_produk_spesifik,produk=roti pia
harga serbuk,cek_harga_produk_spesifik,produk=serbuk
harga terendah,cek_harga_produk_spesifik,filter=terendah
harga tertinggi,cek_harga_produk_spesifik,filter=tertinggi
hari ini ada order apa aja,tampilkan_transaksi_hari_ini,
hari ini ada transaksi apa,tampilkan_transaksi_hari_ini,
hari ini andi order permen 600 toples dicicil 200000 tunai,tambah_transaksi_cicilan_cash,pelanggan=andi|produk=permen|jumlah=600|satuan=toples|dp=200000|bayar=tunai
hari ini budi order permen 30 toples dicicil 200000 dibayar langsung,tambah_transaksi_cicilan_cash,pelanggan=budi|produk=permen|jumlah=30|satuan=toples|dp=200000|bayar=cash
hari ini naha ambil permen 50 dus sudah lunas dibayar secara transfer,tambah_transaksi_lunas_transfer,pelanggan=naha|produk=permen|jumlah=50|satuan=dus|bayar=transfer|status=lunas
hari ini nala ambil brownis 100 bungkus dicicil 1000000 dibayar secara transfer,tambah_transaksi_cicilan_transfer,pelanggan=nala|produk=brownis|jumlah=100|satuan=bungkus|dp=1000000|bayar=transfer
hari ini nala ambil permen 70 dus dicicil 2000000 dibayar secara transfer,tambah_transaksi_cicilan_transfer,pelanggan=nala|produk=permen|jumlah=70|satuan=dus|dp=2000000|bayar=transfer
hari ini nala ambil serbuk 100 lunas dibayar secara transfer,tambah_transaksi_lunas_transfer,pelanggan=nala|produk=serbuk|jumlah=100|bayar=transfer|status=lunas
hari ini pak agus ambil permen coklat 2 dus,tambah_transaksi_lunas_cash,pelanggan=pak agus|produk=permen coklat|jumlah=2|satuan=dus
hari ini pak andi order barang 50 pcs berupa permen,tambah_transaksi_lunas_cash,pelanggan=pak andi|produk=permen|jumlah=50|satuan=pcs
hari ini penjualan gimana,cek_penjualan_hari_ini,
hari ini rara ambil permen coklat 13 dus dibayar lunas secara cash,tambah_transaksi_lunas_cash,pelanggan=rara|produk=permen coklat|jumlah=13|satuan=dus|bayar=cash|status=lunas
hari ini rudi order permen 600 toples dicicil 200000 bayar langsung,tambah_transaksi_cicilan_cash,pelanggan=rudi|produk=permen|jumlah=600|satuan=toples|dp=200000|bayar=langsung
hari ini rudi order permen 600 toples dicicil 200000 cash,tambah_transaksi_cicilan_cash,pelanggan=rudi|produk=permen|jumlah=600|satuan=toples|dp=200000|bayar=cash
hari ini rudi order permen 600 toples dicicil 200000 sudah dibayar,tambah_transaksi_cicilan_transfer,pelanggan=rudi|produk=permen|jumlah=600|satuan=toples|dp=200000|bayar=transfer
hari ini rudi order permen 600 toples dicicil 200000 tf,tambah_transaksi_cicilan_transfer,pelanggan=rudi|produk=permen|jumlah=600|satuan=toples|dp=200000|bayar=transfer
hari ini rudi order permen 600 toples sudah lunas,tambah_transaksi_lunas_cash,pelanggan=rudi|produk=permen|jumlah=600|satuan=toples|status=lunas
hari ini siapa yang beli,tampilkan_transaksi_hari_ini,
hari ini supri ambil permen 20 toples sudah lunas,tambah_transaksi_lunas_cash,pelanggan=supri|produk=permen|jumlah=20|satuan=toples|status=lunas
hari ini udin ambil permen 30 dus sudah lunas,tambah_transaksi_lunas_transfer,pelanggan=udin|produk=permen|jumlah=30|satuan=dus|status=lunas
hari minggu pak ardi ambil barang 100 buah brownis udah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=hari minggu
hari senin pak ardi ambil barang 100 buah brownis udah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=hari senin
hei,greeting,
hei gan,greeting,
hello,greeting,
helo,greeting,
helo bos,greeting,
hey,greeting,
hi,greeting,
hitung total transaksi,total_transaksi,
hlo,greeting,
hlw,greeting,
hrga brownis,cek_harga_produk_spesifik,produk=brownis
hrga permen,cek_harga_produk_spesifik,produk=permen
hutang pelanggan berapa,total_tunggakan,
hutang terbesar siapa,hutang_terbanyak,
ibu sari lunasi hutang 1000000 tf,bayar_hutang,pelanggan=ibu sari|nominal=1000000|bayar=transfer
info penjualan hari ini,cek_penjualan_hari_ini,
input barang brownis 2500,tambah_produk,produk=brownis|harga=2500
input produk permen coklat 13000,tambah_produk,produk=permen coklat|harga=13000
jumlah transaksi,total_transaksi,
jumlah transaksi hari ini,total_transaksi,waktu=hari ini
keluarkan data penjualan semua,tampilkan_semua_transaksi,
kemarin ada order apa,tampilkan_transaksi_kemarin,waktu=kemarin
kemarin pak ardi ambil barang 100 buah brownis sudah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=kemarin
kemarin siapa yang beli,tampilkan_transaksi_kemarin,waktu=kemarin
kemren ada order apa,tampilkan_transaksi_kemarin,waktu=kemarin
laporan hari ini,tampilkan_transaksi_hari_ini,
laporan kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
laporan penjualan hari ini,cek_penjualan_hari_ini,
laporan pnjualan hri ini,cek_penjualan_hari_ini,
lhat semua transaksi,tampilkan_semua_transaksi,
liatin semua transaksi,tampilkan_semua_transaksi,
lihat barang,tampilkan_produk,
lihat data penjualan,tampilkan_semua_transaksi,
lihat order pak doni,cek_pesanan_pelanggan,pelanggan=pak doni
lihat penjualan tanggal 15,tampilkan_transaksi_tanggal,tanggal=15
lihat pesanan pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
lihat produk,tampilkan_produk,
lihat semua transaksi,tampilkan_semua_transaksi,
lihat transaksi hari ini,tampilkan_transaksi_hari_ini,
lihat transaksi kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
lihat yang belum bayar,filter_belum_lunas,
list barang,tampilkan_produk,
list produk,tampilkan_produk,
list semua penjualan,tampilkan_semua_transaksi,
lusa pak ardi ambil barang 100 buah brownis sudah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=lusa
masukkan barang baru brownis,tambah_produk,produk=brownis
masukkan produk baru permen coklat,tambah_produk,produk=permen coklat
mba rina bayar hutang 2000000 transfer,bayar_hutang,pelanggan=mba rina|nominal=2000000|bayar=transfer
met pagi,greeting,
met siang,greeting,
minggu depan pak ardi ambil barang 100 buah brownis udah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=minggu depan
minggu depang pak ardi ambil barang 100 buah brownis udah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=minggu depan
munculkan semua transaksi,tampilkan_semua_transaksi,
order hari ini,tampilkan_transaksi_hari_ini,
order kemarin ada apa aja,tampilkan_transaksi_kemarin,waktu=kemarin
order pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
order tanggal 14,tampilkan_transaksi_tanggal,tanggal=14
p kabar,greeting,
pak andi bayar hutang 500000 cash,bayar_hutang,pelanggan=pak andi|nominal=500000|bayar=cash
pak andi bayar hutng 500000 csh,bayar_hutang,pelanggan=pak andi|nominal=500000|bayar=cash
pak andi beli apa saja,cek_pesanan_pelanggan,pelanggan=pak andi
pak budi bayar cicilan 200000 tunai,bayar_hutang,pelanggan=pak budi|nominal=200000|bayar=tunai
pak budi bayar ciciln 200000 tuni,bayar_hutang,pelanggan=pak budi|nominal=200000|bayar=tunai
pak doni bayar 100000 cash,bayar_hutang,pelanggan=pak doni|nominal=100000|bayar=cash
pak hendra bayar tagihan 750000 cash,bayar_hutang,pelanggan=pak hendra|nominal=750000|bayar=cash
pak joko bayar cicilan 150000 langsung,bayar_hutang,pelanggan=pak joko|nominal=150000|bayar=langsung
pak rudi bayar sisa 300000 transfer,bayar_hutang,pelanggan=pak rudi|nominal=300000|bayar=transfer
pak soni bayar hutang 3000000 tf,bayar_hutang,pelanggan=pak soni|nominal=3000000|bayar=transfer
pak wahyu lunasi tagihan 500000 tunai,bayar_hutang,pelanggan=pak wahyu|nominal=500000|bayar=tunai
pak zio udah bayar 27 juta transfer,bayar_hutang,pelanggan=pak zio|nominal=27000000|bayar=transfer
pelanggan paling banyak beli,pembeli_terbanyak,
pelanggan terbanyak,pembeli_terbanyak,
pemasukan kemarin,total_uang_masuk,waktu=kemarin
pembeli paling banyak hari ini,pembeli_terbanyak,waktu=hari ini
pembeli yang bayar transfer,filter_bayar_transfer,bayar=transfer
pembeli yang bayar tunai,filter_bayar_cash,bayar=tunai
pembelian hari ini,tampilkan_transaksi_hari_ini,
pembelian kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
pendapatan hari ini,total_uang_masuk,waktu=hari ini
penjualan 21 april 2026,tampilkan_transaksi_tanggal,tanggal=21-04-2026
penjualan hari ini,tampilkan_transaksi_hari_ini,
penjualan hari ini ada berapa,cek_penjualan_hari_ini,
penjualan hari ini bagaimana,cek_penjualan_hari_ini,
penjualan hari ini gimana,cek_penjualan_hari_ini,
penjualan kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
penjualan tanggal 25,tampilkan_transaksi_tanggal,tanggal=25
perbaharui harga barang,edit_produk,
perbaharui order pak hendra,update_transaksi,pelanggan=pak hendra
perbaharui pesanan pak naha,update_transaksi,pelanggan=pak naha
perbaharui transaksi zio,update_transaksi,pelanggan=zio
perbahrui pesnan pak naha,update_transaksi,pelanggan=pak naha
perbahrui transaksi zio,update_transaksi,pelanggan=zio
perbarui pesanan ibu sari,update_transaksi,pelanggan=ibu sari
permisi,greeting,
pesanan ibu sari,cek_pesanan_pelanggan,pelanggan=ibu sari
pesanan pak ardi,cek_pesanan_pelanggan,pelanggan=pak ardi
pesanan pak budi,cek_pesanan_pelanggan,pelanggan=pak budi
pesnan pak ardi,cek_pesanan_pelanggan,pelanggan=pak ardi
piutang pelanggan,filter_belum_lunas,
produk apa saja,tampilkan_produk,
produk paling mahal,cek_harga_produk_spesifik,filter=tertinggi
produk termahal,cek_harga_produk_spesifik,filter=tertinggi
produk termurah,cek_harga_produk_spesifik,filter=terendah
ranking pembeli,pembeli_terbanyak,
rekap hari ini,tampilkan_transaksi_hari_ini,
rekap kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
rekap penjualan hari ini,cek_penjualan_hari_ini,
rekap pnjualan hri ini,cek_penjualan_hari_ini,
rekap semua transaksi,tampilkan_semua_transaksi,
rekap tanggal 10,tampilkan_transaksi_tanggal,tanggal=10
rekap uang masuk,total_uang_masuk,
remove produk roti pia,hapus_produk,produk=roti pia
ringkasan penjualan hari ini,cek_penjualan_hari_ini,
riwayat penjualan semua,tampilkan_semua_transaksi,
riwayat pesanan pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
salam,greeting,
salam kenal,greeting,
selamat malam,greeting,
selamat pagi,greeting,
selamat siang,greeting,
selamat sore,greeting,
semua transaksi ada apa aja,tampilkan_semua_transaksi,
show semua transaksi,tampilkan_semua_transaksi,
siapa bayar di tempat,filter_bayar_cash,bayar=langsung
siapa beli hari ini,tampilkan_transaksi_hari_ini,
siapa cicilan terbesar,hutang_terbanyak,
siapa hutang terbanyak,hutang_terbanyak,
siapa hutng trbanyak,hutang_terbanyak,
siapa masih ada cicilan,filter_belum_lunas,
siapa pembeli paling banyak hari ini,pembeli_terbanyak,waktu=hari ini
